,Summary,Date,JobTitle,AuthorLocation,OverallRating,Pros,Cons,Company,negative,neutral,positive,compound
127,assistant store manager,"Nov 16, 2020", Assistant Store Manager,"Chicago, IL",5.0,very good working atmosphere the company offers many training courses,no cons it was a really good experience,L'Occitane,0.0,1.0,0.0,0.0
128,horrible company,"Nov 6, 2020", Store Manager,Dubai,1.0,absolutely none what so ever,where do i even start loccitane is the worst company i have every worked for they very clearly do not care about there people and they make that very apparent even my part time staff can see it the dm for gta is absolutely useless good luck getting any help from them or upper management in general youre on your own the dm clearly also doesnt give two about her people she is only interested in business you as a person mean nothing to her trying to find any sort of information about literally anything that pertains to operations good luck with that communication is practically non existent they do not provide enough hours for the teams to run their boutiques properly and especially in todays climate they do not provide enough hours for boutiques to run safely and control covid if you get sick they will try and still get you to go to work and dont even get me started on the total joke that is their pay rate absolute joke of a company i could go on for hours of how bad they are stay away,L'Occitane,0.778,0.222,0.0,-0.5423
129,awesome,"Nov 6, 2020", Sales Associate,North Sydney,5.0,awesome company good benefits overall,there are no cons ok,L'Occitane,0.0,0.0,1.0,0.6249
130,best company,"Nov 5, 2020", Manager,Split,5.0,perfect atmosphere working with amazing people all across the globe,nothing really as cons to be honest,L'Occitane,0.0,0.192,0.808,0.6369
131,full time staff review,"Nov 3, 2020", Assistant Manager,"Dublin, Dublin",3.0,staff discount great brand great product,very demanding store very busy,L'Occitane,0.0,1.0,0.0,0.0
132,good for part time,"Nov 1, 2020", Beauty Advisor,"Tulsa, OK",3.0,company values eco friendly natural nice employee discount above min wage base pay,no over time small raises stressful to try and make sales goals,L'Occitane,0.0,0.508,0.492,0.4404
133,excellent products and fun work environment,"Oct 28, 2020", Part Time Sales Associate,"Auckland, Auckland",5.0,loccitane allows us to be our authentic selves in our sales role a caring supportive workplace with very good training,standing for hours can be tiring but the uplifting happy atmosphere makes up for it,L'Occitane,0.0,0.364,0.636,0.7906
134,good team,"Oct 23, 2020", Beauty Advisor,"Covent Garden, England",4.0,good team fun environment good products,salary standing for a long time,L'Occitane,0.0,0.256,0.744,0.4404
135,great culture,"Oct 23, 2020", Beauty Consultant,"York, England",4.0,great work culture also good opportunities to learn more about skincare and gain experience in the beauty industry,you always expect rude customers,L'Occitane,0.0,0.196,0.804,0.6249
136,wouldnt recommend,"Oct 21, 2020", Beauty Consultant,Gold Coast,1.0,free monthly products for staff,too much office politics for retail racist management very clickly,L'Occitane,0.678,0.322,0.0,-0.2755
137,a company that cares,"Oct 3, 2020", Assistant Manager,"Santa Clara, CA",5.0,the environment is what matters most no matter where i work this company is so welcoming and the energy that everyone has so much like a family,i have do not have cons,L'Occitane,0.0,0.4,0.6,0.4588
138,friendly work environment,"Sep 30, 2020", Sales Associate,"Bristol, England",4.0,its a great place to work if you love to learn they have a educational tool which allows you to have product training and skincare training always new products to learn about you get a great staff discount on products around christmas if your store hits certain targets you earn commission there are always good incentives if you meet targets or sell a certain number of products you often get given free products for incentives and you get allocated new products monthly small teams of people so you get to know everyone really well and make good friendships,its a very competitive work environment always targets to meet you are expected to sign up every customer that buys something to make an account with the reward scheme which is very unrealistic and can put customers off expected to approach all customers and apply product to customers hands or make them smell perfume which can often be awkward as not all customers like this so its a fairly pushy work environment and its very numbers based at times,L'Occitane,0.0,0.385,0.615,0.4939
139,good company to work,"Sep 28, 2020", Senior Sales Assistant,"Dublin, Dublin",4.0,good culture good team lovely products,company does not pay well,L'Occitane,0.0,0.508,0.492,0.4404
140,great company,"Sep 22, 2020", Sales Associate,"Millburn, NJ",4.0,i loved the discount and the products,the change in management was terrible,L'Occitane,0.0,0.196,0.804,0.6249
141,supportive passionate fun,"Sep 22, 2020", Head Office Employee,"Salisbury, England",5.0,great working environment supportive staff everybody is passionate about the products the history of the brand sustainability and the experience for the customer,none i can think of,L'Occitane,0.0,0.0,1.0,0.836
142,the best part time job i have experienced,"Sep 18, 2020", Senior Sales Associate,"Guildford, England",5.0,the whole company in general was a great experience,cannot think of many cons,L'Occitane,0.0,0.588,0.412,0.6369
143,customer,"Sep 14, 2020", Customer Sales Assistant,Sydney,5.0,fun energetic good values nice team friendly manager,small pay no commission cant think of anything else,L'Occitane,0.0,1.0,0.0,0.0
144,great training,"Sep 13, 2020", Manager,"Guildford, England",4.0,free product and great training,none i can think of,L'Occitane,0.0,0.196,0.804,0.6249
145,customer,"Sep 12, 2020", Customer Service,"Cambridge, England",5.0,nice staff friendly good culture and values,low pay called in at any time,L'Occitane,0.0,1.0,0.0,0.0
146,it was okay,"Sep 9, 2020", Store Manager,"New Haven, CT",3.0,amazing products company does truly care about the environment,the pay was low overtime was frowned upon the amount of hours provided for payroll was unrealistic and forced workers to work alone for entire shifts no matter what time of year or safety concerns,L'Occitane,0.0,0.513,0.487,0.2263
147,loccitane,"Sep 8, 2020", Beauty Advisor,Singapore,5.0,friendly company great gratis easy sales,typical retail cons nothing like some lower retail stores,L'Occitane,0.0,1.0,0.0,0.0
148,ok people but work too much,"Sep 2, 2020", Office,"Los Angeles, CA",2.0,ok colleagues free products female dominating environment flexible dont have hierarchy problems but company is small sized so of course will not have,too much work low pay not much to learn doing robotic manual workjob not done well and out you go can be scapegoat if sales not doing well lousy management doing unnecessary work system cannot make it so not sure what the system is there for slow france headquarters resolving issues boss contacting you after working hours if is too much i will complain to mom not staying for long please dont come here and kill yourself really i am saving you all from black hole,L'Occitane,0.0,0.758,0.242,0.1531
149,locci love,"Sep 1, 2020", Store Manager,"San Francisco, CA",5.0,great company to work for they value good strong talent and truly invest in you,sometimes a difficult process to coach out difficult team members,L'Occitane,0.0,0.192,0.808,0.6369
150,best company i have ever worked for,"Aug 11, 2020", Boutique Manager,"Leicester, England",5.0,good pay good benefits great teams great managers high level of trust managers treated fairly and with respect good communication amazing products lovely customers pleasant environment and atmosphere help always at hand if and when needed ,the only con i can think of was late opening hours in the specific store i worked at but sometimes that was a pro too if you needed to start later in the day,L'Occitane,0.0,0.543,0.457,0.6369
151,sales associate,"Aug 9, 2020", Sales Associate,"Dublin, Dublin",4.0,good perks for employees free goodies every month great product,not flexible with change in schedule,L'Occitane,0.0,1.0,0.0,0.0
152,beautiful products and good training,"Aug 3, 2020", Senior Sales Assistant,"New York, NY",3.0,head office training was great as was the ongoing training product allocation for staff was generous nice customers to work with beautiful store to work in i met many nice colleagues,expectation that lower down members of staff should act as a manager due to continual managerial absences i was not a manager but was often doing that job very bad hourly rate for this responsibility petty behaviour and nasty gossip about myself and others typical of retail anywhere i think managers should adhere to professionalism and set an example you are expected to work above your contracted hours with little or no notice if you worked hours a week for instance you are not compensated with the appropriate amount of holiday pay,L'Occitane,0.0,0.306,0.694,0.7783
153,caring retailer,"Jul 26, 2020", Retail Store Manager,"Dublin, Dublin",4.0,people orientated great team ethos amazing products monthly bonus,limited progression path salaries could be more competitive,L'Occitane,0.0,0.238,0.762,0.4939
154,depends on your department supervisor,"Jul 24, 2020", Coordinator,Singapore,2.0,nyc office summer fridays one free monthly product plenty of really nice people work here ,in i worked in the us corporate headquarters in nyc the managers of my department created a toxic work environment i had years of prior experience and made hr i tried to negotiate and they wouldnt budge after i left i found out that my friend who joined the company after i did who had just graduated college weeks before starting made hr we worked closely together in very similar roles i felt so undervalued not only once i found this out but the whole time i was there your experience here depends on your department supervisor i left because my bosss boss was always all up in everyones business yelling and cursing at people and making everything much harder and more complicated than it should be many people had terrible feelings about her but no one had ever done anything about it shed been there for at least a decade literally terrorizing and verbally abusing people hr at the time was unhelpful i hope theyve changed since then the whole company is old school and often out of touch leadership is very patriarchal my department head literally didnt look at or talk to me for the whole two weeks after i put in my notice he had no interest in having an exit interview or wanting to know why i was leaving to go make the same amount of money at a retail sales associate job you can barely live off of hr in nyc anymore and its especially demoralizing when your friendscoworkers are being paid more than you for the same type of amount of work with that salary i had to live in a closet room far out in brooklyn to make ends meet i also worked freelance gigs on nights and weekends also the it department was the joke of the whole company we had the worlds oldest laptops and software constant tech issues made it difficult to get anything done in a timely manner,L'Occitane,0.0,1.0,0.0,0.0
